Master Category,Date,Description,Amount
Food/Drink,6/12/2010,Patxi'S Chicago Pizza 1,28.41
Shopping,6/12/2010,The Sports Basethe Sports1,29.00
Health,6/13/2010,Walgreen Companwalgreen C1,10.39
Groceries,6/13/2010,Super Sam Food Super Sam San Fransiscoca,15.32
Food/Drink,6/13/2010,Smuggler'S Cove 415-869-1900Ca,30.00
Health,6/13/2010,Walgreen Companwalgreen C1,41.39
Food/Drink,6/14/2010,Mcdonald'S F45471,10.40
Auto/Transportation,6/14/2010,Shell Oil 57444216006 1,39.89
Shopping,6/14/2010,Paypal *Neweggcom 402-935-7733Ca,123.83
Food/Drink,6/15/2010,Old County Deli Belmont,9.50
Credit Card/Loan Payments,6/15/2010,Credit-Capital One,100.00
Groceries,6/16/2010,Super Sam Food Super Sam San Fransiscoca,10.94
Building Supply / Wholesale,6/16/2010,The Home Depot The Home Dsan Carlos,25.00
Food/Drink,6/16/2010,Wok Shop Cafe Inc 415-7712142,28.00
Groceries,6/17/2010,That Takes The Cake 1,18.30
Food/Drink,6/18/2010,Mcdonald'S F45471,9.39
Auto/Transportation,6/18/2010,Shell Oil 57444216006 1,39.11
Groceries,6/18/2010,Vons Store Vons Satascadero,95.07
Auto/Transportation,6/21/2010,Dick'S Valero Salinas,33.32
Food/Drink,6/22/2010,Una Mas Mex Grill,9.37
Groceries,6/22/2010,Nob Hill,12.88
Food/Drink,6/23/2010,Old County Deli Belmont,7.25
Shopping,6/24/2010,Apl*Itunes,0.99
Food/Drink,6/24/2010,Peets Coffee/Tea11Q111,1.85
Food/Drink,6/24/2010,Chipotle1174 San Carlosca,10.00
Bills/Utilities,6/24/2010,Household-Pacific Gas & El,20.94
Auto/Transportation,6/24/2010,Shell Oil 57444216006 1,40.07
Credit Card/Loan Payments,6/24/2010,Credit-Capital One,450.00
Food/Drink,6/25/2010,King Chaun Restaurant San Carlosca,8.16
Auto/Transportation,6/25/2010,City Park Unit 64 1,10.00
Food/Drink,6/25/2010,Lefty O'Douls 1,11.92
Food/Drink,6/25/2010,Lefty O'Douls 1,13.00
Groceries,6/25/2010,Grant And Green Market1,13.13
Groceries,6/26/2010,Super Sam Food Super Sam San Fransiscoca,16.69
Entertainment,6/26/2010,AMC Van Ness04004347San Franciscca,22.00
Bills/Utilities,6/26/2010,Comcast California800-Comcast,96.58
Health,6/27/2010,Walgreen Companwalgreen C1,11.65
Cash/ATM,6/27/2010,ATM Withdrawal - 06/27 2607Y 374 Golden Gate Ave 1,60.00
Cash/ATM,6/27/2010,"ATM Withdrawal - 06/270006A1266 Market St, San Francisco, Ca",60.00
Shopping,6/29/2010,Apl*Itunes,0.99
Shopping,6/29/2010,Paypal Inst Xfer100629 4Jt224Bdlpgq6 Travis Lawrence,6.10
Food/Drink,6/29/2010,Panda Express 388 San Mateo,8.48
Groceries,6/29/2010,Safewaystore Safeways1,35.97
Food/Drink,6/30/2010,Subway00047761Belmont,7.84
Groceries,6/30/2010,Safewaystore Safeways1,12.76
Auto/Transportation,6/30/2010,Union 76 00463232Belmont,40.12
Cash/ATM,6/30/2010,ATM Withdrawal - 06/30 P1266111461 Grant Avens & S Groc1,63.00
Bills/Utilities,7/2/2010,Utilities/Telco-At&T Mobility,98.89
Checks Written,7/2/2010,Check # 365,130.00
Mortgage / Rent,7/2/2010,Uc Hastings Parking Ga1,235.00
Shopping,7/3/2010,Apl*Itunes,1.29
Food/Drink,7/3/2010,The Grove Chestnut1,25.51
Entertainment,7/3/2010,Sundance Cinemas K415-460-1906Ca,33.50
Groceries,7/3/2010,Safewaystore Safeways1,40.80
Airlines / Transportation,7/4/2010,Bart-Civic Centbart-Civicsan Franciscony,9.00
Food/Drink,7/5/2010,Mcdonald'S F45471,10.40
Food/Drink,7/5/2010,Round Table Pizza,21.89
Contractors / Business Services,7/6/2010,Equifax Consumer,14.95
Food/Drink,7/7/2010,Old County Deli Belmont,7.25
Auto/Transportation,7/7/2010,Shell Oil 57444216204 1,37.89
Mortgage / Rent,7/7/2010,Rent Check # 364,"$1,350.00"
Groceries,7/8/2010,Super Sam Food Super Sam San Fransiscoca,4.25
Groceries,7/8/2010,Super Sam Food Super Sam San Fransiscoca,4.75
Groceries,7/8/2010,Nob Hill,6.54
Auto/Transportation,7/8/2010,Fastrak Csc,40.00
Auto/Transportation,7/9/2010,Farmer'S Mini Mfarmer'S Mgonzales,4.42
Groceries,7/9/2010,Super Sam Food Super Sam San Fransiscoca,6.03
Food/Drink,7/9/2010,Eat24Hours.Com415-762-0770Ca,20.59
Auto/Transportation,7/9/2010,Farmer'S Mini Martgonzalesca,36.15
Auto/Transportation,7/11/2010,Shell Service Sshell Servatascadero,16.61
Food/Drink,7/11/2010,Bulls San Luis Obis,20.00
Auto/Transportation,7/11/2010,Shell Oil 57444213508 Santa Clara,38.86
Groceries,7/12/2010,Super Sam Food Super Sam San Fransiscoca,3.63
Groceries,7/12/2010,Super Sam Food Super Sam San Fransiscoca,3.75
Food/Drink,7/12/2010,Panda Express 388 San Mateo,7.11
Auto/Transportation,7/12/2010,Impark5104837275Ca,8.00
Shopping,7/12/2010,Apple Store,100.95
Food/Drink,7/13/2010,Old County Deli Belmont,8.00
Shopping,7/13/2010,Radio Shackradio Shacbelmontca,9.82
Groceries,7/13/2010,Safewaystore Safeways1,15.12
Credit Card/Loan Payments,7/13/2010,Credit-Capital One,100.00
Shopping,7/14/2010,Apl*Itunes,3.99
Food/Drink,7/14/2010,Old County Deli Belmont,7.25
Groceries,7/15/2010,Super Sam Food Super Sam San Fransiscoca,5.12
Food/Drink,7/15/2010,Subway00047761Belmont,7.84
Food/Drink,7/15/2010,Peets Coffee/Tea11Q111,8.20
Auto/Transportation,7/15/2010,Union 76 10028231San Carlosca,41.19
Food/Drink,7/16/2010,Peets Coffee/Tea11Q111,11.10
Entertainment,7/17/2010,AMC Van Ness04004347San Franciscca,7.50
Health,7/17/2010,Walgreen Companwalgreen C1,9.48
Groceries,7/17/2010,Super Sam Food Super Sam San Fransiscoca,9.80
Entertainment,7/17/2010,AMC Van Ness04004347San Franciscca,24.00
Groceries,7/18/2010,Super Sam Food Super Sam San Fransiscoca,7.11
Cash/ATM,7/18/2010,ATM Withdrawal - 07/18 2230M San Francisco Sfway,60.00
Food/Drink,7/20/2010,Old County Deli Belmont,7.25
Postage / Delivery,7/20/2010,Usps0506000101Usps05060Belmontca,10.25
Groceries,7/21/2010,Super Sam Food Super Sam San Fransiscoca,5.12
Food/Drink,7/21/2010,Una Mas Mex Grill,9.37
Groceries,7/21/2010,Super Sam Foodsan Fransisco,10.94
Auto/Transportation,7/22/2010,Tower Car Wash1,2.78
Food/Drink,7/22/2010,Classic Us101 Burgersbelmont,6.76
Personal Care,7/22/2010,Supercuts,27.74
Auto/Transportation,7/22/2010,Chevron002037211,38.10
Auto/Transportation,7/23/2010,Parking Concepts Loc 41,3.00
Groceries,7/23/2010,Super Sam Food Super Sam San Fransiscoca,3.74
Health,7/23/2010,Walgreen Companwalgreen C1,7.33
Food/Drink,7/23/2010,Flippers Gourmet Brger1,10.90
Groceries,7/23/2010,Grant And Green Market1,10.93
Shopping,7/23/2010,"Aline Systems, Incmarbleheadma",65.70
Food/Drink,7/24/2010,North Beach Pizza 415-4332444,20.53
Food/Drink,7/26/2010,Subway00047761Belmont,7.84
Food/Drink,7/26/2010,Eat24Hours.Com415-762-0770Ca,29.46
Bills/Utilities,7/26/2010,Comcast California800-Comcast,96.58
Food/Drink,7/27/2010,Chipotle1174 San Carlosca,8.36
Bills/Utilities,7/27/2010,Household-Pacific Gas & El,17.84
Food/Drink,7/28/2010,Old County Deli Belmont,7.25
Cash/ATM,7/28/2010,"ATM Withdrawal - 07/280008C 468 Columbus Ave, San Francisco, Ca",40.00
Food/Drink,7/29/2010,Kens Kitchen1,18.00
Auto/Transportation,7/29/2010,Union 76 10028231San Carlosca,40.65
Food/Drink,7/30/2010,Gotts Roadside1,33.55
Food/Drink,7/30/2010,Olive Sf1,54.48
Cash/ATM,7/31/2010,ATM Withdrawal - 07/31 Ci0156983050 24Th Streedirty Thie1,62.25
Groceries,8/3/2010,Safewaystore Safeways1,24.61
Food/Drink,8/4/2010,Chipotle1174 San Carlosca,6.83
Groceries,8/4/2010,Grant And Green Market1,11.34
Auto/Transportation,8/4/2010,Union 76 10028231San Carlosca,39.92
Bills/Utilities,8/4/2010,Utilities/Telco-At&T Mobility,97.64
Mortgage / Rent,8/4/2010,Uc Hastings Parking Ga1,235.00
Groceries,8/5/2010,Super Sam Food Super Sam San Fransiscoca,5.12
Contractors / Business Services,8/5/2010,Credit Communicat01 Of800-9542266,17.50
Cash/ATM,8/6/2010,ATM Withdrawal - 08/06 Lk3943033160 -16Th St.Kilowatt1,42.50
Mortgage / Rent,8/6/2010,Rent Check # 366,"$1,350.00"
Postage / Delivery,8/7/2010,Fedex Office,0.54
Contractors / Business Services,8/7/2010,Equifax Consumer,14.95
Groceries,8/8/2010,Super Sam Food Super Sam San Fransiscoca,9.13
Food/Drink,8/8/2010,La Barca1,22.45
Personal Care,8/8/2010,Bike And Roll_Columbus1,76.08
Food/Drink,8/9/2010,Quiznos Sub,10.47
Food/Drink,8/10/2010,King Chaun Restaurant San Carlosca,8.16
Auto/Transportation,8/10/2010,Union 76 10028231San Carlosca,38.35
Groceries,8/11/2010,Nob Hill,6.54
Groceries,8/11/2010,Super Sam Food Super Sam San Fransiscoca,14.93
Airlines / Transportation,8/11/2010,Office Lube Thousand Oaks,258.47
Food/Drink,8/12/2010,Old County Deli Belmont,7.25
Cash/ATM,8/13/2010,ATM Withdrawal - 08/13 P81240332 Goughlas Estrel1,62.25
Credit Card/Loan Payments,8/13/2010,Credit-Capital One,100.00
Shopping,8/14/2010,Apl*Itunes,1.99
Cash/ATM,8/14/2010,ATM Withdrawal - 08/14 Sw000697735 7Th Ave.Tronic1,63.00
Groceries,8/15/2010,Arguello Supermarguello S1,26.39
Cash/ATM,8/15/2010,ATM Withdrawal - 08/15 Lk754299Golden Gate Paroutside La1,44.00
Food/Drink,8/16/2010,Baja Fresh,9.05
Food/Drink,8/16/2010,Mas Sake Llc1,16.90
Groceries,8/17/2010,Nob Hill,6.54
Food/Drink,8/17/2010,Flippers Gourmet Brger1,10.90
Food/Drink,8/18/2010,Lori'S Diner,11.16
Airlines / Transportation,8/18/2010,Bart-Civic Centsan Franciscony,15.00
Food/Drink,8/19/2010,Burger King Ny11012002Hastingsny,6.54
Food/Drink,8/19/2010,Roy Rogers Ny-11162153Rubyny,8.09
Groceries,8/19/2010,Gristedes,14.33
Airlines / Transportation,8/19/2010,Mta Vending Mac212-Metrocardny,27.00
Auto/Transportation,8/19/2010,Sunoco0042338401 Ramapony,31.89
Cash/ATM,8/19/2010,ATM Withdrawal - 08/19 Pi1458Ny Thruway Mm 6Pnc Bankhstngs Hudsn Ny,82.00
Food/Drink,8/20/2010,New Kam Lai Iv Llc212-769-8899Ny,11.60
Food/Drink,8/20/2010,Shake Shack 86Th St New Yorkny,12.00
Contractors / Business Services,8/20/2010,Hostrocket.Com518-3713421 Ny,119.76
Food/Drink,8/21/2010,St James Gate New Yorkny,20.00
Food/Drink,8/21/2010,Brooklyn Public House Brooklynny,26.66
Cash/ATM,8/21/2010,ATM Withdrawal - 08/21 Lk80593453 Avenue Beast 4Th Dnew York Ny,61.95
Food/Drink,8/22/2010,The Creek And The Cavelong Is Cty Ny,12.00
Food/Drink,8/22/2010,Soho Bistro-Te1043,22.27
Shopping,8/22/2010,Hudson News Jfk 8/9 Jamaica Ny,28.25
Groceries,8/23/2010,Safewaystore 1,36.25
Auto/Transportation,8/23/2010,Shell Oil 57444216006 1,40.20
Airlines / Transportation,8/23/2010,Yellow Cab Of San Fran1,44.00
Food/Drink,8/24/2010,Chevys 2454 1,38.33
Groceries,8/25/2010,Super Sam Food San Fransiscoca,5.12
Food/Drink,8/25/2010,Old County Deli Belmont,8.00
Bills/Utilities,8/25/2010,Household-Pacific Gas & El,22.96
Food/Drink,8/26/2010,Chipotle1174 San Carlosca,6.83
Bills/Utilities,8/26/2010,Comcast California800-Comcast,97.98
Shopping,8/26/2010,Rei 38 San Carlos San Carlosca,156.35
Postage / Delivery,8/27/2010,Fedex Office,0.79
Groceries,8/27/2010,Vons Store Oakhurst,11.84
Auto/Transportation,8/27/2010,Union 76 100975171,39.96
Cash/ATM,8/27/2010,ATM Withdrawal - 08/27 4275I North Point Center Sf 1,60.00
Auto/Transportation,8/29/2010,Chevron00090015Yosemite Ntnl,42.96
Auto/Transportation,8/31/2010,Shell Service S1,39.86
Auto/Transportation,8/31/2010,Fastrak Csc,40.00
Cash/ATM,8/31/2010,ATM Withdrawal - 08/31 P81240332 Goughlas Estrel1,62.25
Checks Written,8/31/2010,Check # 367,65.00
Credit Card/Loan Payments,8/31/2010,Credit-Capital One,289.42
Food/Drink,9/2/2010,Una Mas Mex Grill,9.16
Cash/ATM,9/2/2010,ATM Withdrawal - 09/02 Tx6454423 Stockton Ststar Ne 1,62.99
Shopping,9/3/2010,Taxact *Online 2800-573-4287Ia,12.95
Bills/Utilities,9/3/2010,Utilities/Telco-At&T Mobility,95.39
Mortgage / Rent,9/3/2010,Uc Hastings Parking Ga1,235.00
Checks Written,9/3/2010,Check # 368,450.00
Airlines / Transportation,9/4/2010,Bart-Walnut Crewalnut Creek Ny,3.00
Food/Drink,9/4/2010,Peets Coffee/Tea11Q111,17.30
Food/Drink,9/5/2010,Olive Sf1,23.00
Cash/ATM,9/5/2010,ATM Withdrawal - 09/05 Cs38325 705 Divisadero Star Ne 1,42.50
Food/Drink,9/7/2010,King Chaun Restaurant San Carlosca,8.71
Cash/ATM,9/7/2010,ATM Withdrawal - 09/07 Tx9701562 Green St.Star Ne 1,62.00
Auto/Transportation,9/8/2010,Chevron002037211,38.13
Mortgage / Rent,9/8/2010,Rent Check # 369,"$1,350.00"
Personal Care,9/10/2010,Supercuts,20.00
Groceries,9/10/2010,Safewaystore Belmontca,25.65
Cash/ATM,9/10/2010,ATM Withdrawal - 09/10 Tx17562 559 Hayes St.Star Ne 1,62.25
Shopping,9/13/2010,Apl*Itunes,4.99
Food/Drink,9/13/2010,Subway00047761Belmont,7.84
Auto/Transportation,9/13/2010,Union 76 10028231San Carlosca,35.88
Shopping,9/14/2010,Paypal Inst Xfer100914 4Jt224Fgmycgg Travis Lawrence,11.19
Food/Drink,9/14/2010,Kens Kitchen1,21.55
Food/Drink,9/15/2010,Old County Deli Belmont,7.25
Building Supply / Wholesale,9/15/2010,The Home Depot Emeryville,7.79
Shopping,9/15/2010,Paypal Inst Xfer100915 4Jt224Fh2B8Pc Travis Lawrence,11.00
Groceries,9/15/2010,Super Sam Food San Fransiscoca,11.69
Credit Card/Loan Payments,9/15/2010,Credit-Capital One,"$1,781.40"
Groceries,9/16/2010,Super Sam Food San Fransiscoca,6.12
Food/Drink,9/16/2010,Peet'S,8.20
Auto/Transportation,9/16/2010,Shell Service S1,39.82
Groceries,9/17/2010,Safewaystore Belmontca,3.05
Shopping,9/17/2010,Apl*Itunes,5.98
Food/Drink,9/17/2010,Old County Deli Belmont,8.00
Cash/ATM,9/17/2010,ATM Withdrawal - 09/17 2095U Belmont Safeway Belmont,40.00
Cash/ATM,9/17/2010,ATM Withdrawal - 09/170276A 302716Th St1,40.00
Airlines / Transportation,9/18/2010,Bart-Civic Centsan Franciscony,7.00
Credit Card/Loan Payments,9/18/2010,Credit-Capital One,546.41
Contractors / Business Services,9/20/2010,Swisscom Internet Itmilanoit,4.14
Contractors / Business Services,9/23/2010,Axis Appraisal Managemsan Rafaelca,525.00
Bills/Utilities,9/24/2010,Household-Pacific Gas & El,17.96
Bills/Utilities,9/24/2010,Vodafone Wi-Ficorsico It,20.17
Checks Written,10/4/2010,Withdrawal Made In A Branch/Store,100.00
Checks Written,10/5/2010,Withdrawal Made In A Branch/Store,63.00
Bills/Utilities,10/5/2010,Utilities/Telco-At&T Mobility,97.16
Bills/Utilities,10/5/2010,Household-Comcast Cable Co,98.03
Mortgage / Rent,10/8/2010,Check # 1001,360.00
Auto/Transportation,10/10/2010,Valero #7262,41.31
Credit Card/Loan Payments,10/13/2010,Credit-Capital One,138.00
Shopping,10/14/2010,Paypal Inst Xfer101014 4Jt224H6Qw9Vy Travis Lawrence,11.00
Groceries,10/15/2010,Nob Hill,6.54
Food/Drink,10/15/2010,Nizarios Pizza1,9.25
Food/Drink,10/15/2010,The Bitter End1,17.00
Groceries,10/16/2010,Arguello Supermark1,35.97
Cash/ATM,10/16/2010,ATM Withdrawal - 10/16 Cs192181025 Columbus Astar Ne 1,122.50
Credit Card/Loan Payments,10/16/2010,Credit-Capital One,"$1,321.00"
Groceries,10/18/2010,Safewaystore 1,52.31
Groceries,10/19/2010,Press Market 1,10.68
Food/Drink,10/19/2010,Chutney 1,22.50
Shopping,10/19/2010,Paypal Inst Xfer101019 4Jt224Hgsu5Xe Travis Lawrence,38.69
Groceries,10/20/2010,Potrero Te990 W1,11.94
Food/Drink,10/20/2010,Subway003901531,15.78
Auto/Transportation,10/20/2010,Shell Oil 57444216907 1,37.66
Food/Drink,10/20/2010,Rye 1,47.00
Cash/ATM,10/21/2010,ATM Withdrawal - 10/210558K Laurel1,60.00
Bills/Utilities,10/23/2010,Household-Pacific Gas & El,13.44
Food/Drink,10/24/2010,Pluto'S Sf Marina 1,26.94
Groceries,10/25/2010,Safewaystore 1,7.07
Building Supply / Wholesale,10/25/2010,The Home Depot San Carlos,18.15
Shopping,10/25/2010,Paypal Inst Xfer101024 4Jt224Hrvwlyn Travis Lawrence,27.90
Auto/Transportation,10/25/2010,Recur Debit Crd Pmt10/25 Fastrak Csc,30.00
Auto/Transportation,10/25/2010,Union 76 100975171,41.11
Auto/Transportation,10/26/2010,Chevron00208575Livingstonca,28.99
Shopping,10/26/2010,Amazon Mktplace Pmtsamzn.Com/Bill Wa,52.28
Shopping,10/26/2010,Amazon Mktplace Pmtsamzn.Com/Bill Wa,73.64
Food/Drink,10/27/2010,Old County Deli Belmont,7.25
Auto/Transportation,10/27/2010,Union 76 100975171,40.89
Food/Drink,10/28/2010,Chipotle1174 San Carlosca,6.83
Food/Drink,10/28/2010,Bills Place 1,20.30
Auto/Transportation,10/29/2010,Union 76 100408551,3.25
Shopping,10/29/2010,Spirit Hallowee1,27.36
Cash/ATM,10/29/2010,ATM Withdrawal - 10/29 Tx22991 505 Haight Ststar Ne 1,62.25
Auto/Transportation,10/29/2010,U-Haul Moving11,80.00
Food/Drink,10/30/2010,Round Table Pizza,28.67
Groceries,10/31/2010,Delessio Market And Ba1,1.95
Food/Drink,11/1/2010,Old County Deli Belmont,8.00
Building Supply / Wholesale,11/1/2010,The Home Depot San Carlos,19.75
Auto/Transportation,11/1/2010,Shell Oil 57444678205 1,35.00
Food/Drink,11/1/2010,Luna Park 1,65.70
Postage / Delivery,11/1/2010,Iron Man Moving Pacificaca,300.00
Auto/Transportation,11/2/2010,Recur Debit Crd Pmt11/02 Fastrak Csc,30.00
Groceries,11/2/2010,Safewaystore 1,63.08
Food/Drink,11/3/2010,Bon Appetit @ 50153162Redwood Cityca,7.32
Shopping,11/4/2010,Apl*Itunes,1.99
Food/Drink,11/4/2010,King Chaun Restaurant San Carlosca,8.15
Personal Care,11/4/2010,Supercuts,20.00
Food/Drink,11/4/2010,The Little Chihuahua -1,23.16
Auto/Transportation,11/4/2010,Shell Service Soaklandca,38.56
Food/Drink,11/5/2010,Gordo Taqueria,6.24
Groceries,11/5/2010,Falletti Foods 1,52.42
Insurance/Financial,11/5/2010,State Farm Insurance800-956-6310Il,73.30
Credit Card/Loan Payments,11/5/2010,Credit-Capital One,"$1,144.74"
Shopping,11/7/2010,Target T0320 Cocolmaca,125.56
Postage / Delivery,11/8/2010,Fedex Office,13.30
Groceries,11/8/2010,Falletti Foods 1,35.02
Checks Written,11/8/2010,Check # 1003,73.99
Food/Drink,11/9/2010,Old County Deli Belmont,7.25
Groceries,11/10/2010,Nob Hill,6.54
Shopping,11/10/2010,Office Lube Thousand Oaks,39.98
Payments to Non-Wells Fargo Credit Cards,11/10/2010,Credit-Bank Of America,100.00
Checks Written,11/10/2010,Check # 2001,620.00
Food/Drink,11/11/2010,Chipotle1174 San Carlosca,6.83
Auto/Transportation,11/11/2010,Shell Oil 57444678205 1,40.13
Food/Drink,11/12/2010,King Chaun Restaurant San Carlosca,8.15
Groceries,11/12/2010,Falletti Foods 1,26.54
Food/Drink,11/12/2010,Burgermeister Castro1,36.09
Bills/Utilities,11/12/2010,Utilities/Telco-At&T Mobility,95.37
Groceries,11/14/2010,Falletti Foods 1,4.10
Groceries,11/14/2010,Falletti Foods 1,9.75
Bills/Utilities,11/14/2010,Microsoft *Xbox Live800-386-5550Wa,49.99
Building Supply / Wholesale,11/14/2010,Plant It Earth1,121.86
Food/Drink,11/15/2010,Classic Us101 Burgersbelmont,6.76
Shopping,11/15/2010,Paypal Inst Xfer101114 4Jt224Jzl4Csj Travis Lawrence,11.00
Building Supply / Wholesale,11/15/2010,The Home Depot San Carlos,29.48
Building Supply / Wholesale,11/16/2010,The Home Depot San Carlos,7.11
Groceries,11/16/2010,Nob Hill,9.53
Auto/Transportation,11/16/2010,Shell Oil 57444678205 1,42.53
Food/Drink,11/17/2010,Ragazza Llc Sanfranciso,26.28
Personal Care,11/17/2010,Groupon Inc.,40.00
Shopping,11/17/2010,Gamestop,65.54
Payments to Non-Wells Fargo Credit Cards,11/19/2010,Credit-Bank Of America,118.46
Postage / Delivery,11/20/2010,Fedex Office,1.82
Auto/Transportation,11/20/2010,Union 76 100975171,42.42
Groceries,11/21/2010,Falletti Foods 1,16.41
Food/Drink,11/21/2010,Squat And Gobble,27.78
Food/Drink,11/21/2010,Round Table Pizza Sf V1,35.50
Shopping,11/21/2010,Good Company Wines Inc7073420586Ca,80.00
Health,11/22/2010,Walgreen Compan1,2.38
Health,11/22/2010,Walgreen Compan1,20.00
Checks Written,11/22/2010,Check # 2002,65.00
Food/Drink,11/23/2010,The Little Chihuahua -1,10.35
Food/Drink,11/24/2010,China Fun Express 1,9.36
Food/Drink,11/24/2010,In-N-Out Burger Salinas,17.66
Bills/Utilities,11/24/2010,Utilities/Telco-Comcast Cable Co,98.49
Auto/Transportation,11/27/2010,Shell Oil 57441083201 Atascaderoca,38.70
Shopping,11/27/2010,Mountain Air Spsan Luis Obisca,80.58
Food/Drink,11/29/2010,360 Gourment Burritos San Francisco Ca,8.74
Food/Drink,11/30/2010,Chipotle 0839 San Francisco Ca,7.12
Groceries,12/1/2010,Falletti Foods San Francisco,10.91
Food/Drink,12/1/2010,Bistro Burger Bush San Francisco Ca,12.26
Mortgage / Rent,12/1/2010,Online Transfer Ref #Ibe29Nc88Mto Mortgagedecember Mortgage,"$2,547.57"
Shopping,12/2/2010,Apl*Itunes 866-712-7753 Ca,3.98
Groceries,12/2/2010,Falletti Foods San Francisco,9.02
Bills/Utilities,12/2/2010,Household-Pacific Gas & El,16.31
Food/Drink,12/2/2010,Banana House Thai Cuis San Francisco Ca,58.50
Postage / Delivery,12/3/2010,Fedex 75093828407 800-4633339 Tn,2.20
Food/Drink,12/3/2010,Lee'S Deli San Francisco Ca,5.80
Groceries,12/3/2010,Falletti Foods San Francisco,16.24
Food/Drink,12/3/2010,Round Table Pizza Sf G San Francisco Ca,30.37
Airlines / Transportation,12/3/2010,Translink Service Cent 877-878-8883 Ca,60.00
Food/Drink,12/4/2010,Peet'S #12902 San Francisco Ca,4.50
Cash/ATM,12/4/2010,ATM Withdrawal - 1203V 2020 Market St San Francisco Ca,120.00
Mortgage / Rent,12/4/2010,Mortgage - Rent-Broderick Hoa,329.20
Food/Drink,12/6/2010,Bistro Burger Bush San Francisco Ca,12.26
Food/Drink,12/7/2010,Woodhouse Fish Co San Francisco Ca,30.00
Checks Written,12/7/2010,Check # 2006,65.00
Bills/Utilities,12/7/2010,Utilities-Telco-At&T Mobility,95.37
Food/Drink,12/8/2010,Chili Upsan Francisco Ca,9.23
Insurance/Financial,12/8/2010,State Farm Insurance800-956-6310 Il,35.65
Food/Drink,12/9/2010,Jade Cafe #1San Francisco Ca,6.60
Food/Drink,12/10/2010,Caramba San Francisco Ca,11.33
Cash/ATM,12/11/2010,ATM Withdrawal - 1176O 1560 Van Ness Ave San Francisco Ca,60.00
Shopping,12/14/2010,Apl*Itunes 866-712-7753 Ca,1.99
Shopping,12/14/2010,Paypal Inst Xfer 101214 4Jt224M6K52Ge Travis Lawrence,11.00
Shopping,12/14/2010,The Sports Base San Francisco,43.80
Payments to Non-Wells Fargo Credit Cards,12/14/2010,Credit Card-Bank Of America,115.00
Shopping,12/14/2010,Anthropologie #0422 San Francisco Ca,127.02
Credit Card/Loan Payments,12/15/2010,Credit Card-Capital One Card,365.41
Cash/ATM,12/17/2010,ATM Withdrawal - 4258A San Francisco Divisad San Francisco Ca,60.00
Groceries,12/18/2010,Falletti Foods San Francisco,71.87
Food/Drink,12/19/2010,Round Table Pizza Sf V San Francisco Ca,30.37
Shopping,12/21/2010,Godiva Chocolates #240 San Francisco Ca,71.00
Groceries,12/21/2010,Safeway Store San Francisco,71.97
Shopping,12/22/2010,Apl*Itunes 866-712-7753 Ca,12.98
Shopping,12/22/2010,Paypal Inst Xfer 101222 4Jt224Mryee54 Travis Lawrence,24.95
Food/Drink,12/22/2010,Danny Coyle'S San Francisco Ca,27.00
Shopping,12/22/2010,The Puma Store San Francisco Ca,39.42
Shopping,12/22/2010,Macy'S 428 San Francisco,109.48
Food/Drink,12/23/2010,Portico Iv San Francisco Ca,17.90
Shopping,12/23/2010,Rasputin Record San Francisco,26.28
